age,health_score,injury_severity,infection_exposure,food_days,water_days,shelter_quality,medical_supplies,weapon_availability,group_size,distance_to_safe_zone,mobility_score,days_since_outbreak,survived
19,77,3,53,24,6,77,38,85,3,39,51,4,0
28,68,6,15,4,9,81,4,100,7,85,67,28,0
54,61,3,80,7,14,98,76,49,6,55,99,53,1
30,95,8,90,7,7,16,10,30,8,11,43,14,0
44,85,10,6,10,10,18,21,76,4,74,100,53,0
44,30,9,7,8,23,94,86,64,9,79,61,59,1
47,37,1,71,18,13,38,63,52,1,30,89,49,1
17,71,4,86,18,12,35,11,39,7,81,97,45,0
62,65,7,95,8,22,14,52,72,9,56,55,12,0
37,63,4,81,22,12,62,54,38,10,29,50,59,0
42,41,9,37,30,26,28,52,9,1,17,46,6,0
71,72,7,53,19,8,59,20,28,10,33,85,51,0
36,78,7,75,30,16,55,18,39,3,21,64,20,0
62,49,8,14,16,17,39,68,29,7,78,63,48,0
74,27,9,91,15,28,15,87,1,9,10,76,21,0
21,76,5,49,6,18,32,93,81,1,87,40,16,0
34,92,3,55,25,12,88,71,27,6,39,74,12,1
72,39,10,94,21,11,15,65,46,2,78,34,52,0
18,44,2,8,2,28,29,58,31,5,47,53,20,0
16,38,4,7,29,20,97,48,87,7,86,22,58,1
73,24,5,18,20,19,65,97,77,7,52,20,45,0
53,94,2,50,18,19,43,58,88,10,41,43,33,1
30,98,1,71,7,30,37,22,88,7,92,62,50,1
49,91,6,97,4,7,50,2,31,4,47,46,2,0
76,46,10,56,25,23,59,55,26,6,73,28,34,0
50,59,4,67,25,10,17,57,53,10,87,36,26,0
79,45,8,30,5,6,4,87,95,6,71,58,33,0
40,46,2,2,1,0,39,61,55,7,88,74,42,1
39,81,7,98,23,9,5,17,30,9,43,87,30,0
27,69,5,82,24,14,75,60,23,6,37,64,56,1
33,61,3,42,18,3,11,36,34,10,73,47,1,0
30,48,8,28,12,0,11,53,29,1,64,75,46,0
42,58,4,9,30,10,72,94,96,8,71,48,8,1
75,79,9,11,5,29,21,77,54,2,60,48,1,0
61,60,5,45,5,4,48,64,63,3,87,88,46,0
32,52,8,29,1,18,49,13,32,5,25,30,10,0
68,35,6,93,25,18,79,4,45,6,22,21,32,0
23,42,4,81,23,3,3,94,90,7,43,87,51,0
42,26,1,87,4,1,49,94,96,4,71,29,57,0
61,45,3,31,10,6,2,93,32,3,70,91,40,0
65,31,1,72,10,27,15,99,67,9,36,46,2,0
18,91,2,46,23,12,13,61,63,4,46,54,31,1
79,24,9,87,13,19,63,0,29,9,22,100,4,0
59,88,2,62,12,20,40,62,78,9,35,69,56,1
68,68,3,25,29,11,67,66,28,3,47,93,12,0
39,45,5,2,7,29,58,19,61,3,33,21,31,0
75,24,2,22,14,1,1,42,91,8,85,36,41,1
18,41,9,74,11,21,9,84,95,1,75,99,23,1
35,98,0,73,2,8,74,93,99,6,13,43,33,1
61,32,0,49,20,15,89,41,29,6,56,76,8,0
30,47,8,35,22,7,100,93,11,9,67,90,60,1
40,52,8,12,4,23,25,68,66,2,13,35,49,1
32,42,4,28,5,17,3,73,14,8,50,55,16,0
24,37,8,37,1,30,89,87,9,7,57,64,15,0
53,49,10,76,7,3,27,38,85,2,98,29,41,0
63,45,6,89,4,23,1,61,60,1,28,82,40,0
75,35,8,83,21,10,65,47,22,4,98,62,52,0
78,96,6,4,16,16,15,5,10,2,96,70,26,0
17,58,8,19,25,7,56,73,15,3,87,98,14,0
26,52,1,77,1,18,22,41,48,2,88,22,12,0
79,45,10,13,10,7,22,57,79,9,65,85,27,0
36,67,10,7,3,5,76,42,13,4,24,54,47,1
33,84,7,47,10,22,20,9,5,1,67,88,31,0
79,57,6,12,8,1,24,88,41,8,81,98,4,0
53,21,5,23,5,14,57,77,16,4,7,55,30,0
47,25,4,78,23,0,36,38,94,10,74,68,4,0
26,65,3,64,1,5,48,12,41,8,83,20,54,0
60,69,6,85,25,27,76,74,9,8,24,95,31,1
48,57,2,33,14,18,14,38,45,9,9,61,34,0
56,37,7,50,4,3,27,10,83,10,15,60,4,0
23,46,1,2,27,12,66,15,48,7,56,92,20,0
26,60,0,89,11,14,86,32,8,4,86,76,56,0
66,91,10,77,12,8,3,59,78,2,17,39,18,0
56,93,1,57,16,2,46,95,38,6,19,33,47,0
32,36,8,71,3,1,49,58,1,4,9,71,8,0
61,81,4,54,9,15,59,73,67,6,64,73,60,1
47,48,10,79,0,17,61,50,51,8,57,68,42,1
69,77,7,41,10,17,66,14,87,3,38,49,59,1
35,89,2,20,15,5,71,79,81,1,83,22,2,0
48,97,6,9,10,17,42,42,10,5,8,31,57,0
55,41,1,56,8,10,88,26,36,3,6,50,9,1
47,25,7,24,1,6,57,55,89,6,49,56,16,0
17,45,6,55,6,22,51,59,71,3,45,46,22,0
48,58,4,37,18,22,75,95,21,1,21,43,58,1
45,31,10,85,29,13,68,69,51,9,93,60,12,0
48,33,3,60,17,28,96,46,4,5,34,83,5,1
41,41,0,46,28,17,45,99,1,2,12,30,39,0
37,70,4,53,19,6,24,7,4,2,39,92,15,0
53,42,8,45,6,9,24,62,98,9,96,35,45,0
61,67,9,67,22,7,34,88,31,1,6,33,8,0
30,90,3,3,8,23,60,6,18,10,81,66,24,0
59,69,8,93,11,13,14,80,3,3,32,49,51,0
64,32,1,65,28,17,89,93,86,10,60,43,19,1
76,29,3,92,2,4,73,1,45,7,8,32,37,0
21,74,8,42,22,13,87,16,82,1,38,28,53,0
24,28,3,61,21,21,34,3,25,2,93,68,18,0
21,98,4,99,25,24,28,25,49,6,95,45,21,0
47,71,10,84,15,21,37,77,25,9,19,68,49,0
56,21,7,84,6,25,68,71,70,9,55,61,59,0
23,44,0,84,22,21,23,68,31,8,9,64,39,1
65,32,0,3,25,9,18,4,96,3,52,96,14,0
77,70,8,64,4,25,45,4,43,2,28,40,15,0
77,77,8,61,24,14,48,90,25,1,62,48,59,0
22,53,3,89,22,5,43,68,60,9,48,43,55,0
19,54,1,1,6,8,72,2,87,5,39,96,49,0
21,22,8,8,27,9,25,37,50,3,53,61,3,0
73,78,3,56,29,22,24,93,58,10,95,90,56,0
37,89,5,44,18,16,34,0,86,10,63,60,45,0
41,67,0,17,16,0,35,7,37,5,19,67,11,0
18,83,8,47,15,13,13,12,25,3,33,98,57,0
56,38,4,41,29,3,55,83,44,9,64,96,3,1
75,86,2,40,29,30,5,69,30,1,26,62,30,1
29,92,3,74,20,27,31,49,69,1,45,27,6,1
27,95,0,88,23,1,25,7,44,3,1,82,6,0
27,24,8,89,20,2,14,29,30,6,75,82,31,0
28,86,7,57,25,27,48,39,60,2,66,25,22,1
40,30,3,99,18,6,94,78,47,1,35,93,21,1
60,87,1,41,24,29,55,73,44,8,77,71,38,1
34,88,8,34,17,22,36,32,59,10,98,40,38,0
70,20,3,37,30,13,52,72,60,9,98,33,58,0
60,82,8,66,18,11,57,51,51,10,99,77,6,1
23,48,9,40,27,18,100,32,51,1,96,44,29,1
68,31,2,98,3,28,82,72,75,3,45,75,56,0
70,96,6,49,25,17,77,77,80,5,76,28,46,1
47,60,6,85,0,14,35,95,61,7,33,55,11,1
66,21,9,71,26,28,100,36,25,10,82,76,48,0
59,56,3,78,3,28,10,69,66,4,69,98,22,0
33,64,1,44,3,0,26,68,78,6,83,24,60,0
37,99,10,70,8,24,1,3,48,1,31,100,51,0
52,67,8,18,7,25,21,59,87,4,91,26,39,0
71,43,3,16,1,2,65,79,93,8,64,25,6,1
74,41,7,64,28,24,83,73,43,5,15,98,30,1
18,30,1,92,22,14,16,30,35,8,46,71,43,0
43,77,7,76,5,30,3,94,52,1,48,93,25,0
50,65,10,55,22,3,13,13,43,10,68,89,36,0
76,48,9,92,10,14,6,76,90,9,83,74,1,0
69,54,4,40,3,9,78,59,21,4,85,96,22,0
78,34,6,41,29,5,93,67,1,9,40,33,9,1
22,79,6,5,13,12,15,25,6,8,1,20,45,0
64,61,8,68,20,6,65,23,15,8,20,92,8,0
46,62,2,97,21,25,18,55,87,2,22,56,34,1
73,99,9,74,8,29,0,8,93,3,54,68,16,1
76,93,3,72,1,21,30,34,43,10,77,31,19,0
39,68,9,39,26,0,3,78,64,9,65,24,8,1
35,83,3,40,24,21,90,23,90,3,15,89,12,1
52,51,9,8,25,10,57,30,72,8,61,30,43,0
19,83,4,7,0,13,55,82,70,5,79,72,41,0
35,21,5,43,3,5,52,65,68,7,14,74,56,0
75,43,2,57,11,4,88,65,60,4,69,93,31,1
39,85,3,66,4,18,85,40,29,8,49,98,42,0
65,57,2,12,8,25,42,35,41,4,6,69,33,0
64,50,1,18,30,18,73,100,90,5,41,72,19,0
66,45,9,97,21,26,96,33,73,1,31,74,27,1
51,48,8,95,3,25,48,38,24,10,90,22,24,0
49,86,0,48,15,12,59,82,81,8,64,35,49,1
51,97,1,79,1,6,93,22,70,7,89,64,28,1
21,44,7,99,15,7,93,79,56,5,51,100,55,1
54,67,6,81,15,13,15,43,94,6,59,55,4,1
57,84,0,77,20,18,72,69,31,1,55,38,12,0
73,72,4,29,23,18,80,57,49,8,49,23,23,1
27,86,9,65,23,22,98,58,74,9,40,78,20,1
18,37,5,76,21,25,59,25,9,5,15,31,40,0
33,28,4,90,10,11,46,21,21,10,70,82,28,0
55,57,3,58,0,22,14,87,94,7,65,75,54,1
36,40,0,52,14,26,62,39,40,10,7,46,58,0
30,84,6,51,23,8,27,84,46,4,62,87,58,0
41,40,8,80,3,13,19,93,13,6,54,43,48,0
23,46,5,30,30,5,96,10,2,2,52,100,56,0
57,89,2,14,29,14,62,8,87,4,51,45,60,1
59,63,9,19,17,12,32,11,77,5,4,41,1,1
29,47,3,4,16,6,35,25,52,9,1,89,41,1
17,64,9,6,6,10,12,37,15,9,66,38,11,0
52,36,4,17,17,9,61,2,60,8,98,53,44,0
53,59,0,55,12,0,67,96,27,4,35,30,31,0
56,22,4,74,19,6,22,14,34,6,77,64,41,0
77,95,0,95,19,17,71,46,1,7,81,56,38,0
75,95,8,90,28,22,12,4,60,1,10,42,9,0
29,85,6,89,9,2,87,53,55,1,67,59,6,0
17,65,2,100,30,8,39,23,97,4,68,62,6,0
32,49,8,44,0,28,29,10,54,3,89,23,52,0
43,88,1,27,1,4,93,32,17,10,93,34,3,0
50,28,6,49,16,22,24,86,70,4,65,42,32,0
20,30,8,1,21,23,96,73,48,9,51,31,35,0
80,88,5,83,28,12,72,56,41,2,30,87,16,1
55,85,9,67,2,15,25,51,6,4,39,87,2,0
71,50,4,76,16,15,23,63,3,7,10,71,36,0
51,52,6,23,11,11,96,42,42,2,93,60,41,0
60,58,5,47,23,17,38,91,79,8,44,97,7,1
38,65,4,44,29,10,88,80,58,10,32,78,35,1
62,56,1,92,11,16,78,43,48,4,44,77,56,1
46,79,7,57,29,6,60,89,59,9,63,78,30,1
26,50,6,35,19,14,48,88,5,1,61,91,45,0
25,30,5,1,9,5,40,35,19,7,65,42,46,0
29,21,4,17,6,5,69,11,30,1,41,20,29,0
25,46,4,48,9,17,19,55,82,10,81,75,41,1
16,21,8,7,17,18,43,2,21,9,12,94,1,1
20,40,0,57,30,19,15,49,84,10,2,23,44,0
35,77,8,14,21,18,20,28,81,10,73,48,1,1
23,24,5,16,5,1,14,87,31,1,76,36,41,0
58,71,3,22,6,2,38,82,46,3,60,68,57,1
16,64,9,65,27,13,41,76,33,7,25,70,7,1
72,39,6,69,16,21,60,15,26,1,100,68,3,0
79,80,8,92,29,24,3,39,43,5,61,43,36,0
43,57,4,26,11,3,23,26,29,6,99,63,39,0
52,39,4,36,16,21,2,69,32,3,22,60,31,0
62,44,7,48,30,16,0,41,26,6,97,76,25,0
52,21,6,63,17,27,93,56,55,4,56,75,47,0
64,51,7,33,13,5,12,9,22,6,21,51,56,1
59,45,10,17,10,27,53,37,42,6,55,50,24,0
71,89,9,63,1,18,81,7,82,4,40,35,1,1
43,60,1,73,20,8,39,17,53,1,51,51,38,0
21,86,8,43,0,3,10,95,94,3,22,61,54,0
76,20,2,16,10,6,41,16,67,10,28,53,31,1
35,70,5,58,1,3,92,57,52,7,4,56,37,1
17,24,5,12,15,10,3,65,82,2,26,35,11,1
52,32,1,51,21,21,24,43,39,4,87,32,49,0
35,38,6,59,2,29,99,83,59,6,60,85,3,0
41,31,8,41,19,22,35,73,85,5,23,52,12,1
44,67,9,90,0,1,63,8,8,6,41,54,20,0
16,44,10,63,20,9,43,47,94,5,58,56,30,0
50,76,0,65,19,5,39,38,9,9,8,95,10,0
74,54,7,33,7,7,91,88,9,2,96,59,39,1
48,95,1,94,18,14,44,88,29,4,51,27,15,1
66,24,0,86,25,12,7,87,9,1,61,73,21,0
27,41,7,70,0,28,84,5,57,7,1,26,18,0
35,96,1,63,29,30,34,29,35,1,30,21,32,0
68,76,5,32,28,27,43,73,81,6,92,75,19,0
58,66,5,11,25,21,17,94,43,10,17,76,30,1
65,73,4,75,4,1,46,17,56,10,23,68,33,0
44,22,7,18,29,19,24,42,42,9,24,88,22,1
72,72,2,8,30,0,40,32,82,2,86,97,45,1
54,50,9,73,0,14,4,52,22,1,69,27,29,0
71,88,3,16,10,6,63,55,3,10,89,82,24,0
58,52,6,49,20,23,61,18,11,3,52,90,4,1
65,91,6,38,8,25,71,86,48,6,71,65,50,1
38,69,7,40,4,17,86,68,23,7,58,97,12,1
59,35,1,9,1,9,2,25,12,8,22,86,36,1
53,95,10,11,12,14,36,28,67,4,59,65,58,1
38,96,1,78,30,4,94,23,90,8,44,97,4,1
60,58,3,94,17,26,92,5,71,7,37,86,5,0
67,65,9,14,25,23,40,53,89,8,34,61,19,1
65,66,8,27,24,10,19,38,33,5,100,83,41,0
23,63,9,3,11,7,66,3,8,10,57,92,39,0
16,28,8,35,13,30,86,57,9,7,57,72,57,1
23,69,3,64,4,20,39,47,64,4,40,90,31,0
44,96,8,97,26,7,84,59,71,1,20,26,7,1
20,79,2,46,23,29,76,25,73,3,17,26,12,0
62,34,4,80,9,5,7,78,53,10,52,55,10,0
49,55,9,38,19,14,4,76,42,9,4,32,29,0
80,82,8,37,1,14,24,39,58,4,63,86,52,0
70,88,5,43,3,4,38,85,88,5,50,39,21,0
58,99,2,50,11,12,36,76,94,3,82,92,13,1
45,60,9,96,10,13,4,55,58,6,92,72,23,0
32,93,8,84,3,10,7,38,66,4,50,71,6,0
41,43,5,25,10,19,3,80,60,5,16,80,31,0
23,68,3,35,8,20,40,99,37,7,72,80,9,0
62,37,3,68,9,11,59,38,98,7,61,75,51,0
61,26,7,96,26,19,53,47,7,9,44,59,24,0
48,23,6,0,5,0,21,24,64,2,18,100,16,0
16,88,0,52,14,2,77,33,4,4,50,82,59,0
34,79,5,5,9,7,18,20,90,8,93,76,58,0
46,74,7,36,30,22,76,24,89,4,80,23,11,1
29,35,2,1,21,11,98,88,42,3,30,45,36,0
68,48,8,68,20,14,67,21,59,10,49,81,57,0
63,42,9,89,5,22,32,22,25,6,98,95,1,0
77,33,1,40,0,26,21,24,10,3,94,73,21,0
79,98,5,50,28,2,64,77,33,2,21,81,44,1
78,68,0,46,20,24,10,77,1,9,22,37,36,0
48,52,10,12,27,30,15,25,20,3,47,29,37,0
56,44,1,75,21,21,67,29,25,1,25,55,6,1
63,40,4,68,23,7,92,89,75,9,86,21,14,1
28,36,0,65,19,23,43,37,72,5,56,79,29,1
46,42,7,58,29,18,87,85,86,7,64,66,1,1
19,76,0,67,20,19,8,33,4,2,28,92,8,0
34,100,8,58,3,29,71,88,8,1,33,51,47,1
28,77,9,90,22,5,77,99,49,6,66,88,44,0
38,33,10,9,25,17,78,76,9,5,4,70,59,1
16,39,2,12,21,27,61,92,57,10,80,86,19,0
69,49,1,1,13,27,85,72,9,6,12,100,23,1
30,38,0,89,19,10,100,14,77,2,17,96,39,0
80,72,8,14,21,11,14,94,35,7,36,86,41,0
30,75,3,45,28,22,5,43,73,1,16,87,11,0
36,96,0,56,19,1,0,90,55,8,23,75,27,1
34,42,0,9,27,26,19,94,61,7,72,33,55,0
75,81,6,21,7,4,35,9,36,7,9,35,60,0
48,52,1,88,10,27,1,36,40,6,78,95,40,0
64,37,6,78,14,3,69,6,47,10,55,94,36,1
50,92,6,76,30,8,1,31,21,5,73,85,42,0
59,52,9,7,18,12,2,10,86,9,64,52,20,1
26,51,8,20,7,12,6,47,79,3,47,32,42,0
61,80,6,84,12,14,83,91,60,9,90,49,8,1
24,73,0,21,17,1,63,67,74,5,100,45,46,1
18,36,7,96,21,22,40,47,98,8,67,32,36,0
41,38,7,44,23,12,53,44,47,3,10,87,52,1
63,89,3,90,16,6,40,94,63,7,89,52,26,0
43,53,7,39,5,22,4,92,83,10,4,34,35,1
41,44,3,21,24,16,88,32,36,4,30,36,60,0
40,87,7,29,14,7,81,3,40,5,11,25,3,0
27,93,4,61,12,17,62,46,4,4,51,24,59,0
20,93,3,72,25,14,0,89,99,9,19,52,4,1
63,30,5,44,25,14,24,52,76,7,13,73,44,0
52,35,1,34,17,4,80,30,51,6,57,35,29,0
59,80,1,81,10,1,45,30,16,6,100,65,50,0
30,99,1,41,12,15,14,26,89,10,3,43,28,1
58,26,8,4,0,28,68,88,61,7,78,24,19,1
63,35,9,26,17,4,16,47,51,5,74,86,43,0
61,35,2,69,4,22,20,35,19,10,38,95,28,0
58,59,9,61,5,5,52,48,96,3,27,69,18,0
36,31,3,31,0,28,54,30,93,3,88,60,14,0
38,54,9,7,6,30,86,100,15,7,80,74,43,0
62,40,7,84,26,11,9,43,6,10,10,100,14,0
30,69,3,17,3,4,80,58,93,1,53,39,54,1
40,62,10,77,8,19,56,22,65,4,27,69,29,0
51,36,9,14,14,7,64,98,11,10,7,54,3,0
66,51,9,25,30,10,36,67,42,8,92,69,34,0
30,60,6,52,30,13,6,91,39,4,90,98,9,1
36,25,4,43,5,23,75,41,0,1,82,52,40,0
28,46,8,31,24,16,39,41,57,5,13,86,5,1
34,39,3,27,16,9,49,12,2,1,72,90,29,0
49,44,2,38,19,1,0,0,7,9,91,29,41,0
67,85,1,31,17,2,19,75,89,8,60,60,5,0
42,28,0,76,21,12,30,52,74,7,14,59,53,0
44,72,10,78,30,16,67,39,60,5,44,25,45,0
43,80,5,17,3,26,89,89,84,4,70,52,43,1
50,57,9,69,8,2,11,45,4,7,84,35,43,0
23,22,1,10,13,9,21,86,25,3,28,43,52,0
31,89,7,31,2,27,0,21,84,8,23,79,44,0
51,74,5,19,0,7,0,51,72,5,12,93,51,1
45,20,4,96,26,3,2,27,16,5,24,30,13,0
33,89,1,39,28,12,75,52,100,1,51,63,26,0
17,64,6,7,10,28,20,62,65,10,22,22,9,0
64,66,1,34,0,6,12,16,50,8,62,57,4,0
19,98,4,68,11,6,60,63,46,7,26,59,39,1
22,45,1,98,24,15,12,5,39,1,86,38,31,0
54,33,10,77,8,26,81,13,91,4,58,59,5,1
28,73,9,20,4,4,32,16,26,4,71,72,7,1
46,90,10,23,14,27,5,37,39,9,15,96,28,1
78,65,10,16,17,16,24,68,0,10,94,55,40,0
71,50,1,17,8,9,22,12,45,2,68,86,14,0
57,78,6,97,12,3,87,52,10,4,6,39,24,0
76,48,8,11,27,22,100,8,38,10,2,47,42,1
57,36,4,15,12,13,25,43,17,3,31,76,38,0
71,33,6,3,23,4,3,25,90,10,24,22,5,0
51,55,3,88,12,1,34,76,46,5,35,56,47,0
22,77,1,33,26,13,74,18,73,7,47,37,48,0
69,43,2,91,9,23,99,47,99,5,31,65,59,1
16,82,1,45,9,17,24,80,20,5,89,24,34,0
59,44,4,74,21,26,19,79,27,4,72,92,28,0
60,78,5,76,6,23,0,29,0,9,76,100,47,0
62,51,6,30,27,28,93,31,13,6,2,95,8,1
28,37,2,24,21,10,67,77,19,10,79,76,21,1
37,56,3,73,30,15,22,78,72,6,59,45,24,0
36,45,7,23,30,17,98,75,44,6,96,52,54,0
24,28,3,64,4,26,21,100,60,6,63,55,24,0
41,83,6,24,19,15,94,74,26,1,75,41,13,1
24,91,5,27,6,20,61,68,55,6,17,36,49,1
30,39,6,35,19,3,0,10,51,4,54,63,15,0
25,73,0,81,9,0,58,97,67,2,21,71,57,1
57,49,2,5,9,13,67,82,36,6,22,41,46,1
39,72,5,65,25,11,18,25,81,1,97,88,25,0
64,82,2,66,24,23,29,25,30,1,55,20,51,0
41,30,6,71,20,9,0,16,48,5,29,49,45,0
52,50,8,94,23,27,47,94,52,6,79,58,53,0
65,68,2,47,27,18,18,82,38,2,21,98,28,1
39,38,0,82,12,28,51,43,9,10,2,54,39,0
34,31,9,69,14,3,84,83,8,8,42,88,8,0
75,34,5,77,27,19,21,22,91,4,52,89,31,1
54,50,0,66,27,20,49,24,91,4,38,30,7,0
33,62,0,47,5,2,65,91,12,10,3,70,51,1
34,56,7,64,19,24,5,36,17,5,25,82,47,0
51,98,8,43,11,3,63,75,11,10,77,53,39,0
70,48,1,93,18,29,20,64,71,4,88,74,17,0
62,45,8,62,10,25,96,1,86,5,62,97,53,1
64,21,4,45,5,14,18,73,4,10,95,92,57,0
48,34,7,18,0,10,90,97,6,3,15,39,50,1
36,23,6,63,1,15,36,31,14,8,70,99,51,0
37,69,6,82,22,26,62,88,66,6,10,77,57,1
63,57,3,72,14,3,28,73,17,8,73,100,35,0
52,42,1,70,3,5,59,54,37,5,69,36,56,0
30,78,4,100,4,30,91,49,25,7,44,53,22,0
50,94,10,49,14,7,33,64,37,10,41,94,7,1
47,47,10,62,10,12,0,31,58,7,83,81,53,0
26,85,2,40,9,22,47,36,51,6,20,53,10,0
25,27,8,6,16,19,88,75,32,10,97,91,28,0
72,48,5,8,1,3,20,81,20,4,37,38,39,0
40,30,0,3,19,4,33,93,16,6,95,85,58,1
17,37,2,88,23,9,25,12,61,9,39,91,43,0
79,74,3,48,9,4,35,53,58,4,77,61,58,1
50,69,8,75,19,11,98,2,1,6,70,70,29,0
22,33,10,5,29,0,22,84,63,6,8,90,35,0
33,93,5,81,2,28,80,41,24,3,43,68,59,1
57,28,3,20,18,23,46,77,40,4,10,48,53,1
54,30,0,14,27,9,75,39,18,3,41,49,22,0
56,82,7,66,4,28,43,73,37,3,4,44,9,1
39,95,10,65,2,4,19,65,24,10,78,87,36,0
75,86,1,55,7,18,26,59,38,4,4,81,8,0
61,72,10,67,4,18,60,100,3,4,24,57,30,1
34,58,10,31,27,19,36,10,2,6,21,36,30,1
57,97,7,65,29,11,83,0,33,4,10,93,56,1
47,75,5,28,11,22,51,25,9,6,46,20,58,0
54,47,7,65,13,15,74,41,26,2,89,37,31,0
51,94,5,33,6,4,91,61,89,4,70,82,22,1
51,58,4,26,10,16,61,60,90,2,80,65,44,0
18,44,4,59,7,13,65,76,0,8,44,38,31,0
23,40,9,38,4,11,23,91,43,9,92,69,40,1
56,29,9,43,7,12,79,99,83,7,100,73,47,1
28,62,10,81,11,20,11,84,51,6,33,50,28,0
64,34,7,35,14,13,15,61,24,8,94,84,46,0
75,67,6,18,18,4,35,73,73,4,36,65,5,1
17,40,7,90,15,21,1,11,64,10,25,54,17,0
75,79,7,44,30,29,88,26,79,2,13,68,52,1
20,69,6,83,13,22,61,66,10,4,39,100,11,0
59,42,1,20,27,4,63,27,67,5,79,53,22,0
42,32,10,22,6,30,28,65,98,9,38,48,47,1
47,88,8,93,7,28,91,27,76,5,30,25,25,1
36,23,6,88,6,26,73,94,84,9,14,20,13,0
23,97,10,94,29,29,86,20,14,9,50,74,36,1
65,91,5,26,17,17,95,6,56,8,68,46,54,0
59,28,8,97,23,13,30,94,73,5,1,31,45,0
73,54,0,71,5,17,82,13,63,2,61,23,58,0
18,40,10,18,25,28,14,38,10,5,3,99,45,0
17,77,1,40,18,19,54,72,95,1,50,71,11,1
59,37,0,25,3,0,32,86,96,8,61,30,5,1
17,91,9,27,22,6,80,61,19,2,36,71,57,0
50,100,2,63,2,28,51,11,99,7,4,45,58,1
45,62,10,67,16,16,99,92,29,2,43,47,14,1
23,25,4,94,21,2,19,37,9,5,14,91,22,0
37,97,0,79,18,9,72,57,53,10,89,85,3,1
59,86,3,50,26,6,37,55,57,7,67,46,50,1
73,31,7,73,14,26,2,38,78,6,7,74,35,0
51,31,5,47,25,27,53,85,28,5,8,90,32,1
46,85,0,9,5,11,65,3,0,6,44,73,38,0
62,21,0,72,25,21,17,47,57,2,64,65,58,0
70,34,2,38,11,30,86,6,20,10,7,55,40,0
77,42,9,99,18,14,82,59,14,1,48,40,24,0
45,48,7,99,5,22,6,39,66,1,62,68,28,0
70,100,10,18,10,20,34,7,32,8,25,53,21,1
31,26,10,63,19,15,83,57,37,3,81,53,49,0
27,47,7,18,28,7,83,56,18,3,90,59,33,0
32,33,2,75,19,5,82,34,3,9,68,26,28,1
31,63,6,61,9,27,79,72,75,6,64,71,39,1
27,49,2,12,25,3,84,12,88,4,18,68,50,1
23,100,3,24,15,29,92,38,97,4,4,100,36,1
18,51,8,99,26,10,59,83,80,7,17,56,10,0
31,89,3,88,17,16,23,20,57,6,47,81,37,1
45,25,2,91,13,1,100,46,69,2,81,34,40,0
38,46,4,41,3,27,92,82,11,9,45,21,58,1
20,43,6,38,26,5,94,1,78,2,89,30,25,0
80,53,4,29,11,3,38,43,16,8,58,36,45,0
45,59,3,4,19,2,11,29,0,4,3,64,17,0
36,66,7,80,26,6,93,86,13,10,12,87,57,1
37,98,3,17,22,6,52,54,1,1,91,80,53,1
47,94,1,20,20,15,63,39,3,1,17,65,4,1
48,43,9,85,7,1,3,76,65,9,22,51,10,1
31,84,5,49,6,7,93,96,89,4,39,38,53,1
53,37,1,5,25,14,4,95,45,1,39,86,25,1
29,63,2,49,8,30,15,91,49,3,100,23,32,0
51,95,0,79,23,26,26,23,59,3,16,44,8,0
38,76,4,65,30,15,3,41,51,7,51,92,42,1
17,47,8,0,24,0,71,27,96,6,29,40,45,1
80,90,1,56,16,26,47,93,47,8,78,33,12,1
67,42,6,29,9,9,7,92,38,7,71,41,21,0
77,53,4,57,28,6,80,97,69,1,41,67,45,1
38,30,1,51,27,15,45,50,59,3,57,70,27,0
41,54,7,36,2,9,43,21,29,9,28,99,30,1
70,61,10,47,20,11,66,88,85,4,77,30,10,1
21,47,5,86,24,16,90,77,26,3,80,78,21,1
50,97,3,0,7,12,51,73,82,5,21,33,1,0
37,43,3,18,13,11,33,73,73,8,4,26,9,0
58,27,1,45,25,14,61,7,54,1,99,88,3,0
30,72,2,66,6,13,20,13,69,2,15,77,49,0
75,91,6,1,15,18,23,44,25,7,53,59,53,1
27,23,2,55,17,18,43,37,41,1,90,100,42,0
64,24,4,100,30,25,40,31,66,5,46,44,19,0
57,68,9,16,10,13,28,61,66,10,7,97,6,1
53,49,5,91,5,17,5,95,51,8,18,61,7,0
60,91,5,81,19,29,55,66,5,6,89,63,43,1
50,82,3,96,20,25,13,83,9,3,21,24,16,0
45,66,5,78,13,28,49,60,37,7,8,47,36,0
45,45,2,21,20,4,77,12,76,3,59,95,4,0
21,76,6,26,12,19,100,86,11,5,20,79,18,1
22,56,6,54,3,28,51,82,45,7,82,96,32,1
67,26,3,100,19,5,87,79,48,2,83,40,32,0
29,59,1,31,30,17,76,99,90,10,67,68,18,1
30,58,10,59,19,13,0,98,71,4,55,75,39,0
36,81,6,82,10,3,11,46,62,2,62,76,43,0
50,97,2,27,17,27,23,53,68,7,18,80,37,1
17,72,0,27,0,22,36,70,99,3,91,57,53,0
50,23,1,73,11,0,83,51,42,9,79,92,28,0
35,44,9,83,17,12,69,100,93,6,56,21,50,0
25,26,8,24,6,10,75,71,59,1,85,22,39,0
40,47,7,84,11,2,84,24,100,10,22,62,2,1
40,88,5,77,0,16,2,22,28,8,8,93,60,0
69,86,5,85,21,17,26,73,85,7,11,54,37,0
48,39,0,25,3,24,52,29,77,1,12,92,37,1
51,30,1,74,17,9,99,96,73,3,48,59,51,0
29,86,3,70,14,15,16,10,10,3,63,77,2,0
